Root,Akkadian_Terms
lbʾ,"labû I; lawûm II"
lbb,labābu(m)
lbt,lapātu(m)
lbk,labāku(m)
lbn,labānu(m)
lbr,labāru(m)
lbš,labāšu(m)
lgg,lagāgu
lḫb,laḫābu
lḫd,laḫātu
lḫm,"laḫāmu(m) I.II; leḫēmu II"
lḫš,laḫāšu(m)
lḫt/ṭ,laḫātu
lkʾ,"lakû(m) II.III; lekû"
lkd,lakādu(m)
lkk,lukkuku
lks,lukkusu
lkṣ,lukkusu
llʾ,"lalû III; lullû II"
lmʾ,"lawûm II; lemû(m) I.II"
lmd,lamādu(m)
lmm,lamāmu I.II
lmn,lemēnu(m)
lmṣ,lummuṣu
lpn,lapānu(m)
lpp,lapāpu(m)
lpt,lapātu(m)
lqʾ,"laqāʾu II; lekû; leqû(m) II"
lqḫ,laqāḫu
lqt,laqātu(m)
lsm,lasāmu(m)
ltʾ,letû(m) II
ltk,latāku(m)
lwʾ,lawûm II
lzʾ,lezû II
lzn,lezēnu
lzz,lazāzu
mʾʾ,"mâʾu(m) I; maʾû(m); muāʾum"
mʾd,mâdu(m) I
mʾḫ,mâḫum
mʾn,mânu
mʾq,muqqu III
mʾr,"mâru; (w)âru(m)"
mʾs,"mêsu; mêšu(m)"
mʾṣ,"mâṣu(m) I; wiāṣum"
mʾš,"mêsu; mêšu(m); muāšu"
mʾt,mâtu(m)
mʾz,mâzu(m)
mdʾ,"medû; šamdûm"
mdd,madādu(m) I.II.III
mdl,madālu
mdr,madāru(m) II
mgg,magāgu
mgr,"magāru(m); makāru(m) I"
mgš,muggušu(m)
mḫʾ,maḫû(m)
mḫḫ,maḫāḫu(m)
mḫl,maḫālu
mḫr,maḫāru(m)
mḫṣ,maḫāṣu(m)
mkʾ,"makû(m) III; mekû(m) V"
mkk,makāku
mkl,mekēlu
mkr,makāru(m) I.II
mks,makāsu(m)
mkš,makāšu
mlʾ,"malāʾu II; malû(m) IV"
mld,(w)alādu(m)
mlḫ,malāḫu IV
mlk,malāku(m) II.III
mll,"malālu(m) I; mēlulu(m)"
mls/š,malāsu
mlt,malātu
mnʾ,"manû(m) V; menû(m)"
mqr,(w)aqāru(m)
mqq,magāgu
mqt,maqātu(m)
mrʾ,"marû(m) II.III; murrû; wurrûm"
mrḫ,marāḫu(m)
mrkʾ,namarkû
mrq,marāqu(m)
mrr,marāru(m) I.II.III
mrs,marāsu
mrṣ,marāṣu(m)
mrš,(w)arāšu(m)
mrṭ,marāṭu
msʾ,"mesû(m) II; wussûm"
msḫ,masāḫu(m)
msk,masāku(m)
msr,"masārum; maṣāru(m)"
mṣʾ,"maṣû(m); (w)uṣṣû(m)"
mṣl,šumṣulu(m)
mṣr,"masārum; maṣāru(m)"
mṣṣ,muzzuzu
mšʾ,"mašāʾu(m) I; mašû(m) II; muššuʾu; šumšû(m); wussûm"
mšd,mašādu(m)
mšḫ,mašāḫu I.II
mšk,masāku(m)
mšl,"mašālu(m); miššulu"
mšr,mašāru(m)
mšš,mašāšu(m) I
mšt,mašātu
mtḫ,matāḫu
mtq,matāqu(m)
mtr,"matāru(m) II; (w)atāru(m)"
mṭʾ,maṭû(m) II
mzʾ,"mazāʾu(m) II; mazûm III"
mzq,mazāqu I
mzr,"masārum; maṣāru(m); mazāru"
mzz,muzzuzu
nʾʾ,"nâʾu; naʾû(m); nêʾu(m)"
nʾd,"naʾādu(m) I; nâdu(m)"
nʾḫ,nâḫu(m)
nʾk,"nâku II; niāku(m)"
nʾl,"itūlu(m); naʾālu(m); nâlu(m)"
nʾm,naʾāmu(m)
nʾp,"naʾāpu; nâpu I.II"
nʾq,nâqu(m) I.II
nʾr,"naʾāru(m); nêru(m)"
nʾs,naʾāsu(m)
nʾṣ,nâṣu(m)
nʾš,"naʾāšu; nâšu(m); nêšu(m)"
nʾt,nêtu I.II
nʾṭ,nâṭu
nbʾ,"nabāʾu(m) I; nabû(m) II; nebû(m) II"
nbb,nabābu
nbḫ,nabāḫu
nbk,nabākum
nbq,nabākum
nbṭ,nabāṭu(m)
nbz,nabāzu
ndʾ,"nadû(m) III.IV; naṭû(m) IV"
ndd,nadādu(m)
ndk,nadāqu
ndn,nadānu(m) II
ndq,nadāqu
ndr,nadāru(m) I.II
ndš,nadāšum
ngb,nagāpum
ngg,nagāgu(m)
ngl,nagālu
ngp,nagāpum
ngr,nagāru(m) II
ngš,nagāšu(m)
ngʾ,nagû(m) II
nḫʾ,"naḫû; neḫû(m) II"
nḫl,naḫālu(m) I.II
nḫr,naḫāru(m) I.II
nḫs,naḫāsu(m)
nḫṣ,nuḫḫuṣu
nḫš,naḫāšu(m)
nḫt,naḫātu(m)
nḫṭ,nuḫḫuṭu
nkd,nakādu(m)
nkl,nakālu(m)
nkm,nakāmu(m)
nkp,nakāpu(m)
nkr,nakāru(m)
nks,nakāsu(m)
nkš,nakāšu(m)
nlš,nalāšu(m)
nmʾ,nawûm II
nmr,nawāru(m)
nmš,namāšu(m)
npʾ,"napû(m) II; nepû(m); nuppuʾum"
npd,napādu II
npg,napāgu
npḫ,napāḫu(m)
npk,nabākum
npl,napālu(m) I.II.III
npq,"nabākum; napāqu(m); nuppuqu"
npr,napāru
npṣ,napāṣu(m)
npš,napāšu(m) I.II
npt,napātu
nqʾ,naqû(m)
nqb,naqābu(m)
nqd,naqādu(m) I
nqr,naqāru(m)
nrb,narābu(m)
nrṭ,narāṭu(m)
nsʾ,nesû(m) II
nsḫ,"nasāḫu(m) I; našāḫu(m)"
nsk,nasāku(m)
nsq,nasāqu(m)
nsr,nasāru
nss,"nasāsu(m) I; našāšu I"
nṣb,naṣābu(m) I.II
nṣr,naṣāru(m)
nṣṣ,naṣ(ṣ) → našû(m) II
nšʾ,"našû(m) II; nešû(m)"
nšb,nuššubum
nšḫ,našāḫu(m)
nšk,"nasāku(m); našāku(m) I"
nšp,našāpu(m)
nšq,našāqu(m)
nšr,našāru(m) I.II
nšš,našāšu I.II
ntʾ,"naṭû(m) IV; nentû?; nuttûm II"
ntk,natāku(m)
ntp,naṭāpu(m)
ntr,natāru
nṭʾ,naṭû(m) III.IV
nṭl,naṭālu(m)
nṭp,naṭāpu(m)
nwʾ,nawû(m) II
nwr,nawāru(m)
nzʾ,nezû
nzl,nazālu(m)
